r,rho,m,P
7.077707770777106,0.00022657289359730254,9.903051586130857,0.00023333109101176608
7.078707870787108,0.00022624685793024073,9.9031941453275,0.00023288351757160333
7.079707970797109,0.00022592122248584566,9.903336539591523,0.0002324367080932733
7.08070807080711,0.00022559598683151585,9.903478769064645,0.00023199066139864877
7.081708170817111,0.0002252711505350883,9.903620833888503,0.00023154537631129058
7.082708270827112,0.0002249467131648374,9.903762734204655,0.00023110085165644465
7.083708370837113,0.00022462267428947674,9.903904470154574,0.00023065708626104236
7.084708470847114,0.00022429903347815635,9.904046041879646,0.00023021407895369532
7.085708570857115,0.0002239757903004638,9.904187449521174,0.00022977182856469508
7.086708670867115,0.0002236529443264216,9.904328693220384,0.00022933033392600794
7.087708770877117,0.00022333049512649042,9.904469773118413,0.00022888959387127743
7.088708870887118,0.00022300844227156485,9.904610689356318,0.0002284496072358171
7.089708970897118,0.0002226867853329761,9.904751442075067,0.00022801037285661218
7.09070907090712,0.00022236552388248934,9.904892031415553,0.00022757188957231455
7.091709170917121,0.00022204465749230302,9.90503245751858,0.00022713415622324006
7.092709270927122,0.00022172418573505176,9.905172720524867,0.00022669717165137043
7.093709370937122,0.00022140410818380187,9.905312820575059,0.00022626093470034595
7.094709470947124,0.0002210844244120527,9.90545275780971,0.00022582544421546533
7.0957095709571245,0.0002207651339937368,9.905592532369294,0.00022539069904368417
7.096709670967126,0.00022044623650321858,9.9057321443942,0.00022495669803361163
7.097709770977127,0.00022012773151529504,9.905871594024736,0.00022452344003550973
7.098709870987127,0.000219809618605192,9.906010881401127,0.00022409092390128645
7.099709970997129,0.00021949189734856898,9.90615000666351,0.0002236591484845006
7.100710071007129,0.00021917456732151443,9.906288969951952,0.00022322811264035387
7.10171017101713,0.0002188576281005459,9.90642777140642,0.0002227978152256892
7.1027102710271315,0.0002185410792626126,9.906566411166809,0.00022236825509899276
7.103710371037133,0.00021822492038509137,9.906704889372932,0.00022193943112038667
7.104710471047133,0.00021790915104578823,9.906843206164513,0.00022151134215162924
7.105710571057134,0.0002175937708229376,9.906981361681197,0.00022108398705611285
7.106710671067136,0.00021727877929520075,9.907119356062546,0.00022065736469885946
7.107710771077137,0.00021696417604166716,9.907257189448039,0.00022023147394652134
7.108710871087137,0.0002166499606418538,9.907394861977071,0.00021980631366737806
7.1097109710971385,0.00021633613267570272,9.907532373788955,0.00021938188273133192
7.11071107110714,0.00021602269172358348,9.907669725022926,0.00021895818000990916
7.1117111711171415,0.00021570963736629051,9.907806915818128,0.00021853520437625513
7.112711271127141,0.00021539696918504358,9.907943946313628,0.00021811295470513292
7.113711371137143,0.00021508468676148697,9.908080816648408,0.00021769142987292098
7.114711471147144,0.00021477278967769027,9.908217526961371,0.00021727062875761223
7.115711571157145,0.00021446127751614696,9.908354077391335,0.0002168505502388105
7.116711671167145,0.00021415014985977325,9.908490468077034,0.00021643119319772754
7.117711771177147,0.00021383940629190847,9.908626699157123,0.0002160125565171818
7.1187118711871475,0.00021352904639631535,9.908762770770172,0.0002155946390815971
7.119711971197148,0.00021321906975717883,9.90889868305467,0.0002151774397769995
7.12071207120715,0.00021290947595910503,9.909034436149023,0.000214760957491014
7.12171217121715,0.0002126002645871221,9.909170030191557,0.00021434519111286464
7.122712271227152,0.00021229143522667922,9.909305465320507,0.0002139301395333707
7.123712371237152,0.00021198298746364613,9.90944074167404,0.0002135158016449452
7.124712471247153,0.00021167492088431134,9.909575859390232,0.0002131021763415905
7.1257125712571545,0.00021136723507538514,9.909710818607074,0.00021268926251890067
7.126712671267156,0.00021105992962399645,9.909845619462482,0.00021227705907405576
7.127712771277156,0.00021075300411769305,9.909980262094285,0.00021186556490582057
7.128712871287157,0.0002104464581444406,9.910114746640234,0.0002114547789145415
7.129712971297159,0.00021014029129262413,9.910249073237994,0.00021104470000214693
7.130713071307159,0.00020983450315104491,9.91038324202515,0.00021063532707214173
7.13171317131716,0.00020952909330892216,9.910517253139203,0.00021022665902960757
7.1327132713271615,0.0002092240613558918,9.910651106717573,0.00020981869478119987
7.133713371337162,0.00020891940688200566,9.910784802897602,0.00020941143323514508
7.134713471347164,0.00020861512947773278,9.910918341816545,0.0002090048733012406
7.135713571357164,0.0002083112287339571,9.911051723611576,0.00020859901389085048
7.136713671367165,0.00020800770424197633,9.91118494841979,0.00020819385391690191
7.137713771377166,0.00020770455559350498,9.911318016378196,0.00020778939229388807
7.138713871387167,0.00020740178238067122,9.911450927623722,0.00020738562793786195
